structure,learning_rate,epochs,activation_function,train_loss,train_accuracy,val_loss,val_accuracy
"[64, 32]",0.001,10,relu,0.03311455622315407,0.9897916913032532,0.1097506582736969,0.9703333377838135
"[64, 32]",0.001,10,sigmoid,0.34081074595451355,0.8961666822433472,0.3043469190597534,0.9069166779518127
"[64, 32]",0.001,25,relu,0.008553831838071346,0.9973333477973938,0.15878111124038696,0.9712499976158142
"[64, 32]",0.001,25,sigmoid,0.2574300169944763,0.9206666946411133,0.2337404042482376,0.9303333163261414
"[64, 32]",0.001,50,relu,0.0059355772100389,0.9982083439826965,0.1885901838541031,0.9706666469573975
"[64, 32]",0.001,50,sigmoid,0.22171612083911896,0.9320416450500488,0.21722137928009033,0.9361666440963745
"[64, 32]",0.0005,10,relu,0.03181171044707298,0.9908958077430725,0.11044993996620178,0.968916654586792
"[64, 32]",0.0005,10,sigmoid,0.29266560077667236,0.9100416898727417,0.26801273226737976,0.9196666479110718
"[64, 32]",0.0005,25,relu,0.0073705874383449554,0.9980208277702332,0.16656431555747986,0.9664166569709778
"[64, 32]",0.0005,25,sigmoid,0.2102624922990799,0.9367708563804626,0.2007739394903183,0.940583348274231
"[64, 32]",0.0005,50,relu,0.004766729194670916,0.9983958601951599,0.1756824105978012,0.9706666469573975
"[64, 32]",0.0005,50,sigmoid,0.16274836659431458,0.9515625238418579,0.1597350686788559,0.9514999985694885
"[64, 32]",0.0001,10,relu,0.09515851736068726,0.9740625023841858,0.12683479487895966,0.9643333554267883
"[64, 32]",0.0001,10,sigmoid,0.2530296742916107,0.9256041646003723,0.2533521354198456,0.924916684627533
"[64, 32]",0.0001,25,relu,0.016039183363318443,0.9980416893959045,0.1257609724998474,0.9679166674613953
"[64, 32]",0.0001,25,sigmoid,0.15687181055545807,0.9513333439826965,0.1745816469192505,0.9468333125114441
"[64, 32]",0.0001,50,relu,0.0009274502517655492,1.0,0.2293517291545868,0.9668333530426025
"[64, 32]",0.0001,50,sigmoid,0.09956755489110947,0.9693333506584167,0.15597429871559143,0.9551666378974915
"[32, 16]",0.001,10,relu,0.08033342659473419,0.9750833511352539,0.1292092502117157,0.9644166827201843
"[32, 16]",0.001,10,sigmoid,0.395070344209671,0.8797083497047424,0.34984880685806274,0.8951666951179504
"[32, 16]",0.001,25,relu,0.03058561682701111,0.9904583096504211,0.17483264207839966,0.9619166851043701
"[32, 16]",0.001,25,sigmoid,0.3282051384449005,0.9012291431427002,0.30562204122543335,0.9074166417121887
"[32, 16]",0.001,50,relu,0.01415729895234108,0.995229184627533,0.2533986270427704,0.9589166641235352
"[32, 16]",0.001,50,sigmoid,0.2807886004447937,0.9161249995231628,0.2810361385345459,0.9165833592414856
"[32, 16]",0.0005,10,relu,0.08316682279109955,0.9747708439826965,0.11478418856859207,0.9667500257492065
"[32, 16]",0.0005,10,sigmoid,0.31737783551216125,0.9071041941642761,0.3272705674171448,0.9045833349227905
"[32, 16]",0.0005,25,relu,0.032564677298069,0.9897916913032532,0.17312531173229218,0.9610000252723694
"[32, 16]",0.0005,25,sigmoid,0.2629314959049225,0.9221458435058594,0.23634761571884155,0.9320833086967468
"[32, 16]",0.0005,50,relu,0.00946479756385088,0.9976666569709778,0.25410881638526917,0.9570000171661377
"[32, 16]",0.0005,50,sigmoid,0.20585793256759644,0.9398541450500488,0.21021878719329834,0.9384166598320007
"[32, 16]",0.0001,10,relu,0.1813366711139679,0.9484583139419556,0.17141346633434296,0.9523333311080933
"[32, 16]",0.0001,10,sigmoid,0.3423922061920166,0.8988541960716248,0.33174753189086914,0.8984166383743286
